"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6295","test_empty_password","tests","Tue Jan 21 13:11:32 IST 2025","passed","Tue Jan 21 13:11:38 IST 2025","","test_login","",""
"","6304","test_empty_username_and_password","tests","Tue Jan 21 13:11:20 IST 2025","passed","Tue Jan 21 13:11:26 IST 2025","","test_login","",""
"","5924","test_empty_username","tests","Tue Jan 21 13:11:26 IST 2025","passed","Tue Jan 21 13:11:32 IST 2025","","test_login","",""
"","16818","test_valid_username_invalid_password","tests","Tue Jan 21 13:12:21 IST 2025","broken","Tue Jan 21 13:12:37 IST 2025","","test_login","",""
"","2118","test_long_text_search","tests","Tue Jan 21 13:17:49 IST 2025","broken","Tue Jan 21 13:17:51 IST 2025","","test_search","",""
"","12051","test_empty_search","tests","Tue Jan 21 13:13:47 IST 2025","broken","Tue Jan 21 13:13:59 IST 2025","","test_search","",""
"","16061","test_valid_search","tests","Tue Jan 21 13:12:58 IST 2025","passed","Tue Jan 21 13:13:14 IST 2025","","test_search","",""
"","11833","test_orangehrm_login","tests","Tue Jan 21 13:12:45 IST 2025","passed","Tue Jan 21 13:12:57 IST 2025","","test_search","",""
"","5310","test_login_button_disabled_without_input","tests","Tue Jan 21 13:12:15 IST 2025","broken","Tue Jan 21 13:12:21 IST 2025","","test_login","",""
"","24038","test_numeric_search","tests","Tue Jan 21 13:14:19 IST 2025","passed","Tue Jan 21 13:14:43 IST 2025","","test_search","",""
"","7119","test_invalid_login","tests","Tue Jan 21 13:11:12 IST 2025","passed","Tue Jan 21 13:11:20 IST 2025","","test_login","",""
"","17853","test_special_character_search","tests","Tue Jan 21 13:14:00 IST 2025","passed","Tue Jan 21 13:14:18 IST 2025","","test_search","",""
"","7270","test_logout_functionality","tests","Tue Jan 21 13:11:38 IST 2025","broken","Tue Jan 21 13:11:45 IST 2025","","test_login","",""
"","15200","test_invalid_search","tests","Tue Jan 21 13:13:15 IST 2025","passed","Tue Jan 21 13:13:30 IST 2025","","test_search","",""
"","13629","test_search_field_clear","tests","Tue Jan 21 13:17:34 IST 2025","broken","Tue Jan 21 13:17:48 IST 2025","","test_search","",""
"","16511","test_login_with_max_length_inputs","tests","Tue Jan 21 13:11:52 IST 2025","broken","Tue Jan 21 13:12:08 IST 2025","","test_login","",""
"","6584","test_login_with_special_characters","tests","Tue Jan 21 13:11:45 IST 2025","passed","Tue Jan 21 13:11:52 IST 2025","","test_login","",""
"","6793","test_login_with_sql_injection","tests","Tue Jan 21 13:12:08 IST 2025","passed","Tue Jan 21 13:12:15 IST 2025","","test_login","",""
"","120000","test_partial_match_search","tests","Tue Jan 21 13:15:02 IST 2025","broken","Tue Jan 21 13:17:02 IST 2025","","test_search","",""
"","6806","test_login_redirect_to_dashboard_url","tests","Tue Jan 21 13:12:37 IST 2025","failed","Tue Jan 21 13:12:44 IST 2025","","test_login","",""
"","15122","test_case_insensitive_search","tests","Tue Jan 21 13:13:31 IST 2025","passed","Tue Jan 21 13:13:46 IST 2025","","test_search","",""
"","7015","test_valid_login","tests","Tue Jan 21 13:11:05 IST 2025","passed","Tue Jan 21 13:11:12 IST 2025","","test_login","",""
"","16446","test_whitespace_search","tests","Tue Jan 21 13:14:44 IST 2025","broken","Tue Jan 21 13:15:01 IST 2025","","test_search","",""
